,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges
94,PGM2,0.004563511357715373,23.554058,CRTAC1,0.0015626339720582832,2.9638834,ING1,0.054790857278147746,1.7290466,TMEM120A,0.21824753673422115,2.2445126,HTATSF1,0.26852717002267934,1.870608,RABEP1,0.1903958657129767,2.5132165
95,MYCL,0.004488946278259185,0.75170463,ILKAP,0.0015510694109661873,1.0652295,STAU2,0.055221731578538547,1.1708381,MRPL44,0.21655529820149097,0.9310094,SEMA6A,0.26855669133782234,1.8824961,UBE4A,0.19065191679862173,1.9892848
96,URB1,0.004910128942198929,3.1782517,REEP5,0.0015731111176081041,1.6920753,HMGB3,0.055259121835540596,0.48189938,kcnma1,0.22205781314944434,3.6876385,SMCHD1,0.2696290532667635,1.8881968,NXT2,0.18809189203823493,1.8523219
97,MRPS35,0.00491019387043759,1.5226026,POU2F1,0.0015638123218826184,1.0371848,MMP24,0.05695191087404165,2.5421867,EMP2,0.22180566002858018,3.5086322,SMCO4,0.2686881827604161,1.5004473,MYCN,0.18844373198247172,1.5776794
98,ST14,0.004954926730351053,0.94186085,PGAM1,0.001642158218401711,0.4416276,IDH3B,0.05698441539425626,1.6441005,COPS2,0.2180650846206119,1.282802,OXNAD1,0.2697135026473478,1.8297156,HSD17B7,0.19133391094644533,2.4338515
99,EIF2S2,0.004954250514688016,0.40026733,COTL1,0.001655237396983402,0.78497547,C1H21ORF91,0.05671449019256684,1.2333938,MAIP1,0.21806682369570216,1.152009,CXorf56,0.2693619281356475,1.2641894,QPCTL,0.19039934421294352,1.8455446
100,SPARC,0.004978727034745118,0.6431274,ZEB1,0.0017200793536536554,1.3480943,EAF2,0.05695912144910129,1.3710545,CSNK1G1,0.2185207721998272,1.1613868,PARP1,0.27076567454603784,0.5643547,ASXL2,0.19817787095673667,4.227267
101,DTX3L,0.005025955695001058,1.9392308,IGFBP2,0.0019432218500919634,0.83361506,BNAS2,0.05733848033564535,1.3060725,AUH,0.22003336782743685,2.2606263,OARD1,0.27283065545255536,1.8297155,PACRGL,0.19817787095673667,4.227267
102,ANKMY2,0.005015265908427768,1.2906835,UBE2E2,0.001987513120324066,1.2003797,HOXD12,0.05821801885532602,0.9044018,ASH1L,0.2232399010678534,3.4201932,EXOC4,0.27814973773029805,1.7719215,YEATS2,0.19580112907443087,2.375865
103,RASGRP1,0.005255495733293467,23.656517,ATF6,0.002009432066200581,1.672986,CFL2,0.05912335848123043,1.1092677,ALG10,0.22275114796681716,2.1847708,DPH1,0.2785531337927967,1.4472697,NVL,0.19445083883014935,1.8654081
