,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges
56,LDHB,0.0001298051817239727,0.25535357,ZDHHC20,0.002777932752904744,2.3910964,GMDS,1.9226699581603803e-10,1.8135546,PDGFA,1.338299978337197e-10,1.8224977,MOS,0.1723217212415839,5.5529914,ICMT,0.22519349964324048,1.6949725,PTTG2,0.11917506362733461,0.87949944,FAM208A,0.28006359825081995,2.605167,PARP12,0.24665157888805583,3.0340133,VPS26A,0.25973444061654033,1.4875021,RAB18,0.24033239230298203,1.9740602
57,MNX1,0.00021998531519478034,3.0284662,KCNJ5,0.003197634465270578,1.3548274,MESP1,3.292277883832433e-10,1.7815014,CDH11,1.5308805773979267e-10,2.221934,SLC44A1,0.17165462336297455,2.808664,TIPIN,0.2258474604245765,1.2624894,GNPDA2,0.12184228935029227,2.3074243,TAF13,0.27901671785640597,1.431453,KRT7,0.24908371248908026,3.4272375,MTRF1L,0.26845543582944026,2.7314024,CCNA2,0.24543000559741657,3.0638385
58,CACNG3,0.00024193065111839456,1.0755659,NTM,0.003447858003879011,0.7337887,CDON,3.7766930550239213e-10,2.1208584,HOXA9,1.616358286980061e-10,0.96898705,SLC1A3,0.1727555779309215,2.6830785,PTPRD,0.22779440669611267,3.3235433,MRPL48,0.12014573546974729,0.9265582,TLE4,0.28110216728322673,1.7976984,USF1,0.24736025188176508,3.0094268,NECAP1,0.2662586179715976,1.8600426,SLC39A14,0.24732603449276933,3.0415316
59,HEXB,0.0002852238564835075,0.95437104,SEPT9,0.0038420944142642482,0.45896456,RIPPLY2,5.304453229185247e-10,3.346229,PSAT1,1.747985498444181e-10,1.4359528,TATDN1,0.17262101978647595,1.0015835,KIF7,0.22854142564330274,3.2829921,DCTN6,0.12180486892572594,1.096059,C12orf43,0.28330184587192,2.5686154,ACVR2A,0.24322099708443315,1.5754813,OGDH,0.2660645584138144,1.4138846,B4GALT2,0.24952044522514688,1.9672314
60,CFC1,0.0002917626462866751,1.359689,SIK1,0.004357736139308892,0.94460785,TIMP3,6.266883066705505e-10,1.4810195,PTTG2,1.6986914566480182e-10,1.0104294,TEAD1,0.17372598220570704,2.738708,FAM84A,0.23199159917000717,3.2667117,PPIA,0.12149335296154694,0.39734823,RRP7A,0.27977804354676017,1.4092206,JAG2,0.24837849930051165,3.0052898,GATA2,0.2744189905672686,2.6934266,ARHGAP19,0.24850979446745886,1.9411318
61,CDX1,0.00037399147865518976,2.1318793,SYNPR,0.0044161682583400835,1.0542146,RASGEF1B,1.3519108988086755e-09,2.355903,MYLK,2.5380885595643455e-10,2.3578045,CHL1,0.17419083066484628,2.8650641,ABHD18,0.232816839177558,1.2607468,MYH15,0.12617757665667484,3.5783584,RABL2B,0.28425088234136964,2.5419595,ALX1,0.24837850384777574,3.0052896,SBDS,0.26977772760580865,1.4455167,KPNA2,0.24602775789442563,1.3132759
62,ENHO,0.0003770111190125779,0.700427,FAM46A,0.00507660194904038,1.2791579,GAS6,1.564137737419763e-09,2.3490317,PTN,2.31660983186388e-10,1.0724685,PACRG,0.17686532841698074,2.6451197,PTBP3,0.23775898963008985,3.13781,ARFIP2,0.12444061242003676,1.3219597,THUMPD3,0.28406459101853965,1.1870852,MED4,0.24662052878620394,2.017833,UBE2A,0.2717295669592061,1.8223693,WAPL,0.24910633324845535,1.9206339
63,MAOA,0.00040360535857429604,2.5574768,TMEM35B,0.005267597986039806,0.55913234,ALCAM,2.2531325425721464e-09,1.6948498,MTAP,2.493572261798121e-10,1.500352,ADSL,0.17641762226923446,0.8246214,RUNX3,0.23854316705207673,3.10208,ATRX,0.12579940855642568,0.823489,RNF185,0.28685259543343716,1.7561964,KCTD6,0.24597129419869365,2.0004323,POMGNT1,0.27637840917697626,2.6613626,RDH11,0.2504222570741694,1.9314433
64,HOXD12,0.00042992118308945873,0.54261965,TIMM50,0.0055123363676304335,0.48637098,ALDH1A3,2.6222558181336444e-09,3.800159,GLCCI1,4.1257456416010435e-10,1.1567945,B4GALT1,0.17638727227671702,1.1562407,METTL8,0.24280835211488142,3.0531735,NCMAP,0.12862775938128157,3.5077996,NR1D2,0.28997015717536484,2.4727113,BCL2,0.2506724388648339,2.9870512,LDLRAP1,0.27867810462255727,2.6170826,TBCCD1,0.25882177095928366,3.0217988
65,KRT18,0.00043713290591241075,1.3812436,IL17RD,0.005762821157960017,0.5920165,DKK3,3.060131082189209e-09,1.2348453,UCH-L1,1.1690946494204119e-09,1.1251144,APCDD1,0.17682856677330105,0.837861,ATAD2B,0.24359395279527812,3.1341336,COQ2,0.1280471955840517,2.4808202,SGPL1,0.28965088009764794,1.4352363,USP46,0.2512075772840052,2.9811776,ACBD5,0.2791480049496883,2.6361887,TYSND1,0.2581560943236282,2.8663805
66,AGTRAP,0.0004981993693082548,1.6157359,MID1,0.006096906493565253,0.560675,KDELR2,3.339670492203692e-09,0.74889255,TXN,1.4328533830065536e-09,0.54711676,CUEDC1,0.17949049676374612,2.64512,C8G,0.24361122815540948,3.0194483,SLC35C1,0.12740812054174547,1.3034968,SEPT9,0.2915148883723321,1.1795713,ARL4C,0.2458197794993545,1.1556549,C7H2ORF69,0.2830325297011202,2.6550686,B2M,0.25317308203495786,1.9297935
