index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden
4321-0,0,bcENXN,6s1,839.0,None,d3,d3,617,839.0,-0.32237825,0.62046105,G2M,4
4322-0,0,bcBJHA,6s1,739.0,None,d3,d3,554,739.0,-0.11155413,0.25551236,G2M,1
4445-0,0,bcBCIH,6s1,3597.0,None,d3,d3,1452,3597.0,0.19498186,-0.032790117,S,2
4446-0,0,bcFPIO,6s1,1295.0,None,d3,d3,696,1295.0,-0.049011536,-0.026891455,G1,2
4447-0,0,bcGASE,6s1,972.0,None,d3,d3,609,972.0,-0.06794116,0.048895348,G2M,3
4448-0,0,bcERMG,6s1,835.0,None,d3,d3,589,835.0,0.15688014,0.036870003,S,0
4449-0,0,bcGCZT,6s1,802.0,None,d3,d3,544,802.0,-0.028558314,0.041464597,G2M,5
4572-0,0,bcHMQY,6s1,3184.0,None,d3,d3,1239,3184.0,-0.2610626,-0.36484745,G1,5
4573-0,0,bcIIXD,6s1,979.0,None,d3,d3,615,979.0,0.15330027,0.034672443,S,3
4574-0,0,bcALRJ,6s1,959.0,None,d3,d3,590,959.0,-0.078410536,0.44039413,G2M,6
4576-0,0,bcHYWE,6s1,660.0,None,d3,d3,562,660.0,-0.038277585,0.038529657,G2M,1
4577-0,0,bcCYVZ,6s1,675.0,None,d3,d3,587,675.0,0.27651566,-0.31428427,S,5
4699-0,0,bcBRFI,6s1,3203.0,None,d3,d3,1318,3203.0,0.08062382,0.12960555,G2M,2
4700-0,0,bcIDCX,6s1,1506.0,None,d3,d3,722,1506.0,0.03472325,0.0036486955,S,1
4701-0,0,bcARQU,6s1,955.0,None,d3,d3,623,955.0,0.45650873,0.5413519,G2M,3
4702-0,0,bcARCB,6s1,736.0,None,d3,d3,609,736.0,0.19118685,0.62013525,G2M,5
4703-0,0,bcGUWQ,6s1,737.0,None,d3,d3,583,737.0,-0.18649021,-0.15005328,G1,0
4826-0,0,bcGYMS,6s1,3079.0,None,d3,d3,1203,3079.0,0.041678667,-0.0012649298,S,3
4827-0,0,bcESDH,6s1,1209.0,None,d3,d3,668,1209.0,0.09301255,-0.044704907,S,3
4828-0,0,bcFOFE,6s1,871.0,None,d3,d3,596,871.0,-0.07057173,-0.09396426,G1,4
4829-0,0,bcBFIU,6s1,825.0,None,d3,d3,569,825.0,-0.20964986,0.18315555,G2M,1
4830-0,0,bcFWXG,6s1,723.0,None,d3,d3,573,723.0,-0.09032214,-0.2810019,G1,4
4953-0,0,bcBTXV,6s1,3427.0,None,d3,d3,1276,3427.0,-0.15546286,-0.09139279,G1,2
4954-0,0,bcBAOI,6s1,1406.0,None,d3,d3,700,1406.0,0.19949317,-0.049734622,S,1
4955-0,0,bcHLIN,6s1,867.0,None,d3,d3,597,867.0,-0.39818734,0.044887178,G2M,1
4956-0,0,bcARIB,6s1,737.0,None,d3,d3,572,737.0,0.010380868,0.25372627,G2M,2
5080-0,0,bcGEHM,6s1,2431.0,None,d3,d3,1042,2431.0,0.03244003,-0.04991726,S,4
5081-0,0,bcEKMN,6s1,1360.0,None,d3,d3,627,1360.0,-0.15680468,-0.26133135,G1,3
5082-0,0,bcHAGD,6s1,1036.0,None,d3,d3,559,1036.0,-0.1305854,0.23234165,G2M,5
5083-0,0,bcBJLU,6s1,836.0,None,d3,d3,549,836.0,0.050980926,0.043898642,S,0
5084-0,0,bcCREC,6s1,827.0,None,d3,d3,566,827.0,-0.027143322,-0.29248142,G1,3
5207-0,0,bcEUBH,6s1,3055.0,None,d3,d3,1187,3055.0,-0.005618321,0.027474595,G2M,3
5208-0,0,bcHVWS,6s1,1228.0,None,d3,d3,660,1228.0,-0.029513828,0.029010851,G2M,0
5209-0,0,bcHUSM,6s1,937.0,None,d3,d3,589,937.0,0.04043127,-0.028234836,S,3
5210-0,0,bcDZZO,6s1,828.0,None,d3,d3,584,828.0,-0.0023996448,0.077367574,G2M,1
5211-0,0,bcGAUX,6s1,647.0,None,d3,d3,573,647.0,0.10383795,-0.07954867,S,4
5334-0,0,bcHVBE,6s1,2273.0,None,d3,d3,981,2273.0,0.22800004,-0.0894734,S,1
5335-0,0,bcBDFA,6s1,1247.0,None,d3,d3,686,1247.0,-0.0824023,0.024854252,G2M,4
5336-0,0,bcBFHP,6s1,921.0,None,d3,d3,635,921.0,0.071725845,0.24251287,G2M,4
5337-0,0,bcGZSG,6s1,821.0,None,d3,d3,571,821.0,0.15588486,0.117563196,S,0
5461-0,0,bcEJUD,6s1,3002.0,None,d3,d3,1221,3002.0,-0.2507468,0.25654548,G2M,3
